wv_nm,T_293,T_283,T_273,T_263,T_253,T_243,T_233,T_223,T_213,T_203,T_193,T_228
284.69,69.949953,69.218004,68.696144,68.930443,69.211279,68.18343,68.924256,67.992978,67.922231,67.396605,67.918734,68.2398131907205
284.7,69.882434,69.164742,68.630508,68.873684,69.142684,68.129092,68.86669,67.948862,67.864665,67.34146,67.852022,68.1840768332067
284.71,69.814915,69.112018,68.564065,68.818539,69.074358,68.073409,68.810738,67.902863,67.810327,67.28766,67.783965,68.1287936237421
284.72,69.747934,69.059563,68.496546,68.765277,69.006032,68.016381,68.7564,67.854443,67.758679,67.234398,67.715101,68.0736512195137
284.73,69.68176,69.007377,68.42822,68.713629,68.937975,67.958008,68.702869,67.803871,67.709721,67.181674,67.644892,68.0185304567978
284.74,69.616124,68.954653,68.358818,68.663326,68.870456,67.898021,68.650414,67.750878,67.662915,67.129219,67.573876,67.963337671409
284.75,69.551295,68.901122,68.288609,68.614368,68.803206,67.836689,68.598228,67.695464,67.617454,67.076495,67.502322,67.9077630164182
284.76,69.487004,68.846784,68.217862,68.566755,68.736763,67.774012,68.546311,67.63736,67.573338,67.023771,67.429961,67.8519104730781
284.77,69.42352,68.790832,68.146577,68.519949,68.670589,67.710259,68.493856,67.576835,67.52976,66.969971,67.3576,67.7953667877715
284.78,69.360574,68.733266,68.075023,68.47395,68.605222,67.645161,68.440594,67.51362,67.486182,66.915095,67.28497,67.7380370652775
284.79,69.298435,68.673548,68.002931,68.428489,68.540393,67.578987,68.386525,67.447715,67.442335,66.858874,67.21234,67.6798024754025
284.8,69.236565,68.611678,67.930839,68.383566,68.476102,67.512006,68.330842,67.378851,67.397681,66.800501,67.139979,67.6204654334925
284.81,69.174695,68.547387,67.858747,68.338374,68.412349,67.443949,68.273814,67.307835,67.351951,66.739976,67.068156,67.5600739617222
284.82,69.113094,68.480406,67.786655,68.292644,68.348865,67.375354,68.214634,67.23386,67.304069,66.676761,66.996602,67.4981304037741
284.83,69.050955,68.410735,67.714832,68.246645,68.28565,67.305683,68.153571,67.157464,67.254573,66.610318,66.925586,67.4348516596467
284.84,68.988547,68.338105,67.643547,68.19957,68.222435,67.235743,68.090087,67.078647,67.202387,66.540916,66.855108,67.3700093901714
284.85,68.925063,68.262785,67.5728,68.15115,68.158951,67.164996,68.024182,66.997409,67.147511,66.467748,66.785168,67.3034445314
284.86,68.860503,68.184506,67.502322,68.101385,68.095198,67.093711,67.955856,66.914019,67.089676,66.390814,66.716035,67.2352092489146
284.87,68.794598,68.103537,67.432651,68.049468,68.030638,67.021888,67.885378,66.828477,67.028882,66.309845,66.647171,67.1651938313159
284.88,68.727079,68.019609,67.363518,67.995668,67.965271,66.949527,67.81221,66.740783,66.96486,66.224572,66.578576,67.0932869524444
284.89,68.657139,67.933529,67.294923,67.939178,67.898828,66.876628,67.73689,66.651475,66.89761,66.135533,66.51025,67.0196686660864
284.9,68.585316,67.845028,67.227135,67.879729,67.830771,66.802922,67.659149,66.560284,66.827132,66.041921,66.441924,66.9439572395385
284.91,68.510534,67.754375,67.159616,67.81759,67.7611,66.728678,67.579525,66.46721,66.753157,65.944543,66.373329,66.8664474847458
284.92,68.433331,67.661839,67.092635,67.752223,67.689546,66.653358,67.497749,66.37306,66.675954,65.84313,66.304465,66.7869881752694
284.93,68.353169,67.567689,67.025654,67.683359,67.61584,66.577231,67.414359,66.277296,66.595523,65.73822,66.234525,66.7056156811009
284.94,68.270317,67.472194,66.958942,67.610998,67.539444,66.499759,67.329086,66.180456,66.511864,65.629813,66.163778,66.6221761266373
284.95,68.184237,67.375623,66.89223,67.534871,67.460627,66.420942,67.242737,66.08254,66.425246,65.518178,66.091686,66.5369208991036
284.96,68.095198,67.278245,66.82498,67.455247,67.378851,66.34078,67.155043,65.983817,66.335669,65.403853,66.017711,66.4497621416263
284.97,68.0032,67.180329,66.757461,67.372126,67.294116,66.259004,67.066273,65.884287,66.243133,65.287376,65.942391,66.3607728562907
284.98,67.908512,67.082144,66.689135,67.285239,67.206153,66.175345,66.976427,65.784219,66.147907,65.169016,65.86465,66.2698470480282
284.99,67.811134,66.983959,66.619733,67.194855,67.115231,66.089803,66.885774,65.683344,66.05026,65.04958,65.784757,66.1771590510126
285,67.711604,66.885774,66.548986,67.100974,67.020812,66.002109,66.794583,65.582469,65.949923,64.929068,65.702443,66.0826430875485
285.01,67.610191,66.787858,66.476894,67.004134,66.923434,65.912263,66.702854,65.481056,65.847434,64.808556,65.617439,65.986487547381
285.02,67.507164,66.69048,66.402919,66.904335,66.822559,65.820265,66.610318,65.379643,65.742524,64.688044,65.529745,65.8885445810794
285.03,67.402523,66.59364,66.326792,66.801846,66.718725,65.725577,66.517513,65.277961,65.635731,64.568608,65.439361,65.789044525247
285.04,67.297344,66.497607,66.248513,66.696936,66.611663,65.628468,66.423901,65.176548,65.526517,64.450248,65.346287,65.6878161488667
