wv_nm,T_227
289.01,42.039985775
289.02,41.999848285
289.03,41.95986547
289.04,41.9203144
289.05,41.880926075
289.06,41.841700495
289.07,41.80263766
289.08,41.76347664
289.09,41.72433983
289.1,41.684827765
289.11,41.644932375
289.12,41.60465366
289.13,41.56344555
289.14,41.521577045
289.15,41.47863254
289.16,41.434603965
289.17,41.38922232
289.18,41.34261807
289.19,41.294506075
289.2,41.24475587
289.21,41.19348985
289.22,41.14056948
289.23,41.086133295
289.24,41.029904225
289.25,40.972289805
289.26,40.91314343
289.27,40.85275024
289.28,40.791110235
289.29,40.728484345
289.3,40.66488871
289.31,40.60086133
289.32,40.53627981
289.33,40.47141315
289.34,40.40653842
289.35,40.342071225
289.36,40.277742565
289.37,40.214237045
289.38,40.15143227
289.39,40.08958917
289.4,40.028723885
289.41,39.969105415
289.42,39.91073376
289.43,39.853755525
289.44,39.798024105
289.45,39.74354757
289.46,39.690456385
289.47,39.638343015
289.48,39.587606925
289.49,39.53784058
289.5,39.48903591
289.51,39.440923915
289.52,39.393488455
289.53,39.34646053
289.54,39.29983207
289.55,39.253595005
289.56,39.20733373
289.57,39.161056315
289.58,39.11474662
289.59,39.068135645
289.6,39.02149239
289.61,38.974539785
289.62,38.927416365
289.63,38.880252595
289.64,38.83265708
289.65,38.78515975
289.66,38.737768675
289.67,38.69036146
289.68,38.643199035
289.69,38.59656654
289.7,38.55033351
289.71,38.50463848
289.72,38.459897055
289.73,38.416109235
289.74,38.37329116
289.75,38.331573295
289.76,38.291094175
289.77,38.25213087
289.78,38.214283915
289.79,38.177952775
289.8,38.14286845
289.81,38.10930801
289.82,38.076994385
289.83,38.045919505
289.84,38.016221905
289.85,37.98748598
289.86,37.959850265
289.87,37.932899155
289.88,37.90662458
289.89,37.881157005
289.9,37.855819895
289.91,37.83087418
289.92,37.80604279
289.93,37.78091819
289.94,37.75576938
289.95,37.730180755
289.96,37.70402185
289.97,37.677292665
289.98,37.64971613
289.99,37.621300315
290,37.591906685
290.01,37.56154331
290.02,37.53021019
290.03,37.49750786
290.04,37.46370532
290.05,37.428680175
290.06,37.39230196
290.07,37.354839675
290.08,37.316170925
290.09,37.27602671
290.1,37.234822635
290.11,37.192420165
290.12,37.148688835
290.13,37.10403618
290.14,37.058339805
290.15,37.011453105
290.16,36.96365315
290.17,36.91520894
290.18,36.865843405
290.19,36.81596408
290.2,36.7654405
290.21,36.71439506
290.22,36.663227225
290.23,36.6118146
290.24,36.560401975
290.25,36.50899742
290.26,36.457869935
290.27,36.40727238
290.28,36.35708236
290.29,36.30769127
290.3,36.25909911
290.31,36.211436345
290.32,36.164971975
290.33,36.119575535
290.34,36.075507955
290.35,36.032777305
290.36,35.991375515
290.37,35.95117212
290.38,35.912574655
290.39,35.87531412
290.4,35.83925198
290.41,35.804396305
290.42,35.77060856
290.43,35.73775828
290.44,35.705845465
290.45,35.67447065
290.46,35.64348723
290.47,35.612911345
290.48,35.582196925
290.49,35.551474435
290.5,35.52007541
290.51,35.488399315
290.52,35.456046685
290.53,35.42247145
290.54,35.38794261
290.55,35.352191165
290.56,35.31508665
290.57,35.276612925
290.58,35.236647595
290.59,35.19518259
290.6,35.152087445
290.61,35.10763116
290.62,35.061813735
290.63,35.0146271
290.64,34.96621786
290.65,34.916586015
290.66,34.866000565
290.67,34.814600045
290.68,34.76252299
290.69,34.709899865
290.7,34.656877275
290.71,34.603593755
290.72,34.55017977
290.73,34.49691239
290.74,34.44366115
290.75,34.390833585
290.76,34.338160695
290.77,34.28591955
290.78,34.23411015
290.79,34.18286296
290.8,34.132055585
290.81,34.081679955
290.82,34.03174414
290.83,33.98224814
290.84,33.93305342
290.85,33.88415998
290.86,33.835706355
290.87,33.787415475
290.88,33.73928734
290.89,33.69132195
290.9,33.64338884
290.91,33.595610405
290.92,33.547986645
290.93,33.500387095
290.94,33.452803685
290.95,33.40537495
290.96,33.35808475
290.97,33.31081069
290.98,33.2638137
290.99,33.21709378
291,33.17064286
291.01,33.124599475
291.02,33.07881702
